state,crop,year,yield,rainfall,temperature,humidity,n_req_kg_per_ha,p_req_kg_per_ha,k_req_kg_per_ha,n,p,k,ph,temperature_nasa,rainfall_nasa,humidity_nasa
andhra pradesh,rice,2000,2812.86,1200.0,25.0,80.0,70.3215,33.75432,61.882920000000006,78.0,45.0,22.0,6.8,27.813333333333333,968.01,69.265
andhra pradesh,rice,2001,2898.49,1200.0,25.0,80.0,72.46225,34.78188,63.76678,78.0,45.0,22.0,6.8,28.26,822.89,66.48666666666666
andhra pradesh,rice,2002,2521.5836363636363,1200.0,25.0,80.0,63.03959090909091,30.25900363636364,55.47484,78.0,45.0,22.0,6.8,28.361666666666665,735.8900000000001,66.395
andhra pradesh,rice,2003,2697.1045454545456,1200.0,25.0,80.0,67.42761363636363,32.36525454545455,59.3363,78.0,45.0,22.0,6.8,28.42833333333333,751.63,66.89
andhra pradesh,rice,2004,3121.2,1200.0,25.0,80.0,78.03,37.4544,68.6664,78.0,45.0,22.0,6.8,27.83,683.07,68.0125
andhra pradesh,rice,2005,2713.6736363636364,1200.0,25.0,80.0,67.84184090909092,32.56408363636364,59.70082,78.0,45.0,22.0,6.8,27.891666666666666,1058.68,70.065
andhra pradesh,rice,2006,2945.995454545455,1200.0,25.0,80.0,73.64988636363637,35.35194545454545,64.8119,78.0,45.0,22.0,6.8,27.756666666666664,1095.2,69.35833333333333
andhra pradesh,rice,2007,3273.420909090909,1200.0,25.0,80.0,81.83552272727273,39.28105090909091,72.01526,78.0,45.0,22.0,6.8,27.429166666666664,993.31,71.05
andhra pradesh,rice,2008,3053.298181818181,1200.0,25.0,80.0,76.33245454545454,36.63957818181818,67.17255999999999,78.0,45.0,22.0,6.8,27.938333333333333,957.36,68.18166666666666
andhra pradesh,rice,2009,3064.878181818182,1200.0,25.0,80.0,76.62195454545454,36.778538181818185,67.42732,78.0,45.0,22.0,6.8,28.409166666666664,799.56,66.82083333333334
andhra pradesh,rice,2010,2726.732727272727,1200.0,25.0,80.0,68.16831818181818,32.72079272727273,59.98812,78.0,45.0,22.0,6.8,27.9275,1253.24,72.31583333333333
andhra pradesh,rice,2011,3143.25,1200.0,25.0,80.0,78.58125,37.719,69.1515,78.0,45.0,22.0,6.8,28.33,561.73,65.26916666666666
